timestamp,symbol,action,signal,reason,price,trade_qty,cash,coin_qty,portfolio_value,ema_short,ema_long,rsi,fear_greed_value,fear_greed_label,large_buy_vol,large_sell_vol,book_bid_vol,book_ask_vol,book_imbalance,funding_rate
2026-08-22T14:36:54.135994+00:00,BTCUSDT,HOLD,HOLD,HOLD,77093.21,0.0,5000.0,0.0,5000.0,77160.29,77202.6,45.31,71,Greed,0.0,0.0,4.9701,18.06,-0.5684,
2026-08-22T14:36:54.135994+00:00,ETHUSDT,HOLD,HOLD,HOLD,2420.99,0.0,4984.4589067131,0.0,4984.4589067131,2424.38,2426.85,43.59,71,Greed,0.0,0.0,652.3142,433.1778,0.2019,
2026-08-22T14:56:52.229513+00:00,BTCUSDT,HOLD,HOLD,HOLD,76960.0,0.0,5000.0,0.0,5000.0,77120.23,77180.54,41.8,71,Greed,0.0,0.0,10.586,5.5533,0.3118,
2026-08-22T14:56:52.229513+00:00,ETHUSDT,HOLD,HOLD,HOLD,2412.41,0.0,4984.4589067131,0.0,4984.4589067131,2421.98,2425.53,38.67,71,Greed,5.522,0.0,270.3469,445.7403,-0.2449,
2026-08-22T15:14:42.234867+00:00,BTCUSDT,HOLD,HOLD,HOLD,77003.62,0.0,5000.0,0.0,5000.0,77096.91,77164.42,43.35,71,Greed,0.0,0.0,4.2888,15.9453,-0.5761,
2026-08-22T15:14:42.234867+00:00,ETHUSDT,HOLD,HOLD,HOLD,2413.94,0.0,4984.4589067131,0.0,4984.4589067131,2420.38,2424.48,39.97,71,Greed,0.0,0.0,262.1313,426.7021,-0.2389,
2026-08-22T15:35:32.034008+00:00,BTCUSDT,HOLD,HOLD,HOLD,76992.01,0.0,5000.0,0.0,5000.0,77051.59,77130.62,43.55,71,Greed,0.5413,0.0,7.3424,5.2433,0.1668,
2026-08-22T15:35:32.034008+00:00,ETHUSDT,HOLD,HOLD,HOLD,2410.9,0.0,4984.4589067131,0.0,4984.4589067131,2416.23,2421.74,39.86,71,Greed,37.8505,0.0,194.8496,381.7419,-0.3241,
2026-08-22T15:55:23.887296+00:00,BTCUSDT,HOLD,HOLD,HOLD,77060.01,0.0,5000.0,0.0,5000.0,77053.27,77124.22,46.15,71,Greed,0.0,0.0,4.7963,14.9075,-0.5132,
2026-08-22T15:55:23.887296+00:00,ETHUSDT,HOLD,HOLD,HOLD,2412.61,0.0,4984.4589067131,0.0,4984.4589067131,2415.51,2420.91,41.32,71,Greed,0.0,0.0,250.0006,290.5091,-0.0749,
2026-08-22T16:12:17.311247+00:00,BTCUSDT,HOLD,HOLD,HOLD,76978.83,0.0,5000.0,0.0,5000.0,77038.38,77111.03,43.56,71,Greed,0.0,0.0,2.2084,20.3734,-0.8044,
2026-08-22T16:12:17.311247+00:00,ETHUSDT,HOLD,HOLD,HOLD,2410.9,0.0,4984.4589067131,0.0,4984.4589067131,2414.59,2420.0,40.26,71,Greed,62.3948,9.8758,437.9433,301.363,0.1847,
2026-08-22T16:39:17.271697+00:00,BTCUSDT,HOLD,HOLD,HOLD,77198.0,0.0,5000.0,0.0,5000.0,77072.71,77114.16,51.8,71,Greed,0.0,0.0,6.08,8.978,-0.1925,
2026-08-22T16:39:17.271697+00:00,ETHUSDT,HOLD,HOLD,HOLD,2420.51,0.0,4984.4589067131,0.0,4984.4589067131,2415.78,2419.61,48.59,71,Greed,0.0,0.0,275.7798,398.7246,-0.1823,
